word,level,pos
accent,B2,noun
accommodate,B2,verb
accountant,B2,noun
accuracy,B2,noun
acid,B2,noun
activate,B2,verb
addiction,B2,noun
adjust,B2,verb
AIDS,B2,noun
alongside,B2,preposition
ambulance,B2,noun
ancestor,B2,noun
animation,B2,noun
anxiety,B2,noun
apology,B2,noun
applicant,B2,noun
arrow,B2,noun
artwork,B2,noun
assumption,B2,noun
attachment,B2,noun
auction,B2,noun
audio,B2,adjective
ballet,B2,noun
bargain,B2,noun
basement,B2,noun
basket,B2,noun
bat,B2,noun
booking,B2,noun
brick,B2,noun
broadcaster,B2,noun
cabin,B2,noun
canal,B2,noun
candle,B2,noun
carbon,B2,noun
cave,B2,noun
certificate,B2,noun
championship,B2,noun
cheek,B2,noun
clarify,B2,verb
cliff,B2,noun
clinic,B2,noun
clip,B2,noun
coincidence,B2,noun
collector,B2,noun
compound,B2,noun
conspiracy,B2,noun
cue,B2,noun
cute,B2,adjective
derive,B2,verb
ethic,B2,noun
failed,B2,adjective
federal,B2,adjective
forum,B2,noun
fossil,B2,noun
fragment,B2,noun
gig,B2,noun
governor,B2,noun
graphic,B2,adjective
greenhouse,B2,noun
highway,B2,noun
info,B2,noun
isolate,B2,verb
lens,B2,noun
lyric,B2,noun
making,B2,noun
marker,B2,noun
martial,B2,adjective
mortgage,B2,noun
navigation,B2,noun
nursing,B2,adjective
outfit,B2,noun
placement,B2,noun
prompt,B2,verb
publishing,B2,noun
punk,B2,noun
reporting,B2,noun
screening,B2,noun
seeker,B2,noun
settler,B2,noun
shaped,B2,adjective
sometime,B2,adverb
spokeswoman,B2,noun
super,B2,adjective
teens,B2,noun
tonne,B2,noun
trading,B2,noun
troop,B2,noun
warming,B2,noun
abnormally,B2,adverb
aboriginal,B2,adjective
absentee,B2,noun
access,B2,verb
accessibility,B2,noun
accommodation,B2,noun
ache,B2,verb
achievable,B2,adjective
adaptable,B2,adjective
addict,B2,noun
adorn,B2,verb
advancement,B2,noun
advent,B2,noun
ageless,B2,adjective
agonize,B2,verb
agonise,B2,verb
agony,B2,noun
aim,B2,verb
aircraft,B2,noun
alcoholic,B2,noun
alcoholism,B2,noun
altar,B2,noun
altitude,B2,noun
aluminum,B2,noun
aluminium,B2,noun
amazement,B2,noun
ambiguity,B2,noun
ammonia,B2,noun
amplifier,B2,noun
amplify,B2,verb
anchorage,B2,noun
anchorman,B2,noun
anchorperson,B2,noun
anguish,B2,noun
animate,B2,verb
antiaircraft,B2,adjective
antibacterial,B2,adjective
anticancer,B2,noun
anticipation,B2,noun
antipollution,B2,noun
antistatic,B2,adjective
antivirus,B2,noun
apostrophe,B2,noun
appreciative,B2,adjective
arch,B2,noun
archaeologist,B2,noun
archeologist,B2,noun
arctic,B2,adjective
aristocracy,B2,noun
armful,B2,noun
artery,B2,noun
artistry,B2,noun
assessment,B2,noun
astonish,B2,verb
astronomy,B2,noun
athletics,B2,noun
attached,B2,adjective
attainment,B2,noun
attentive,B2,adjective
attentively,B2,adverb
attractiveness,B2,noun
attribute,B2,noun
attribute,B2,verb
atypical,B2,adjective
aubergine,B2,noun
audition,B2,noun
authorize,B2,verb
authorise,B2,verb
ax,B2,noun
axe,B2,noun
axis,B2,noun
backward,B2,adverb
backwards,B2,adverb
backyard,B2,noun
balky,B2,adjective
ballad,B2,noun
ban,B2,noun
banker,B2,noun
bankrupt,B2,verb
bankruptcy,B2,noun
barbershop,B2,noun
bare,B2,verb
bargain,B2,verb
bark,B2,verb
barley,B2,noun
barn,B2,noun
barometer,B2,noun
barren,B2,adjective
bartender,B2,noun
bathhouse,B2,noun
beagle,B2,noun
beak,B2,noun
bearing,B2,noun
beat,B2,noun
beautify,B2,verb
bellow,B2,verb
bend,B2,noun
benevolence,B2,noun
benevolent,B2,adjective
berry,B2,noun
bestseller,B2,noun
bewilder,B2,verb
bewilderment,B2,noun
bidding,B2,noun
bikini,B2,noun
billion,B2,noun
bio,B2,noun
biotechnology,B2,noun
birdcage,B2,noun
birthplace,B2,noun
blast,B2,noun
blaze,B2,noun
blaze,B2,verb
blindness,B2,noun
bloodstream,B2,noun
bloody,B2,adverb
blooming,B2,adjective
blossom,B2,noun
blur,B2,verb
blurt,B2,noun
bold,B2,noun
bolt,B2,noun
bolt,B2,verb
bombard,B2,noun
bony,B2,adjective
bookish,B2,adjective
booklet,B2,noun
bookmark,B2,noun
bookmark,B2,verb
booth,B2,noun
botany,B2,noun
bothersome,B2,adjective
bounce,B2,noun
bourbon,B2,noun
bow,B2,verb
boxer,B2,noun
brag,B2,noun
bravery,B2,noun
breakup,B2,noun
breed,B2,noun
breezy,B2,adjective
brewery,B2,noun
brochure,B2,noun
brother-in-law,B2,noun
browse,B2,verb
bruise,B2,noun
bud,B2,noun
bulimia,B2,noun
bum,B2,noun
bumper,B2,noun
bun,B2,noun
burden,B2,verb
burdensome,B2,adjective
burglary,B2,noun
burgle,B2,verb
bustle,B2,verb
butcher,B2,verb
cable,B2,noun
