word,level,pos
a.m.,A1,adverb
A.M.,A1,adverb
am,A1,adverb
AM,A1,adverb
above,A1,preposition
action,A1,noun
airplane,A1,noun
aeroplane,A1,noun
all,A1,pronoun
all right,A1,adjective
all right,A1,adverb
am,A1,verb
any,A1,pronoun
apple,A1,noun
apron,A1,noun
are,A1,verb
article,A1,noun
as,A1,preposition
autumn,A1,noun
ball,A1,noun
basketball,A1,noun
bean,A1,noun
bear,A1,noun
because,A1,conjunction
bee,A1,noun
below,A1,preposition
birth,A1,noun
biscuit,A1,noun
black,A1,noun
blue,A1,noun
bone,A1,noun
both,A1,pronoun
breathe,A1,verb
bucket,A1,noun
burger,A1,noun
butter,A1,noun
button,A1,noun
cafe,A1,noun
café,A1,noun
camp,A1,noun
can,A1,modal auxiliary
cap,A1,noun
cartoon,A1,noun
catch,A1,noun
CD,A1,noun
CD player,A1,noun
celebrate,A1,verb
celebration,A1,noun
check,A1,noun
circle,A1,noun
climb,A1,noun
clock,A1,noun
cloud,A1,noun
coach,A1,noun
code,A1,noun
coke,A1,noun
color,A1,noun
colour,A1,noun
color,A1,verb
colour,A1,verb
could,A1,modal auxiliary
credit card,A1,noun
daddy,A1,noun
did,A1,verb
dig,A1,noun
dining room,A1,noun
doctor,A1,noun
Dr.,A1,noun
Dr,A1,noun
does,A1,verb
doing,A1,verb
each other,A1,pronoun
email,A1,noun
e-mail,A1,noun
E-mail,A1,noun
everyday,A1,adjective
fairy,A1,noun
false,A1,adjective
favorite,A1,adjective
favourite,A1,adjective
favorite,A1,noun
favourite,A1,noun
feed,A1,noun
focus,A1,verb
following,A1,adjective
garbage,A1,noun
good afternoon,A1,interjection
good morning,A1,interjection
good night,A1,interjection
gray,A1,adjective
grey,A1,adjective
gray,A1,noun
grey,A1,noun
had,A1,verb
hamburger,A1,noun
has,A1,verb
have to,A1,modal auxiliary
hello,A1,noun
hometown,A1,noun
ice cream,A1,noun
if,A1,conjunction
Internet,A1,noun
internet,A1,noun
interviewer,A1,noun
is,A1,verb
its,A1,pronoun
jewelry,A1,noun
jewellery,A1,noun
last name,A1,noun
