word,level,pos
abortion,C1,noun
abundance,C1,noun
academy,C1,noun
accomplishment,C1,noun
accordance,C1,noun
accountability,C1,noun
accumulation,C1,noun
accusation,C1,noun
accused,C1,noun
acid,C1,adjective
acquisition,C1,noun
acre,C1,noun
activation,C1,noun
acute,C1,adjective
adaptation,C1,noun
adjustment,C1,noun
administer,C1,verb
administrator,C1,noun
admission,C1,noun
adoption,C1,noun
adverse,C1,adjective
aesthetic,C1,adjective
affection,C1,noun
aftermath,C1,noun
aggression,C1,noun
agricultural,C1,adjective
aide,C1,noun
albeit,C1,conjunction
alien,C1,adjective
alignment,C1,noun
allegation,C1,noun
allowance,C1,noun
ally,C1,noun
aluminium,C1,noun
ambassador,C1,noun
amendment,C1,noun
anchor,C1,noun
applicable,C1,adjective
appoint,C1,verb
archive,C1,noun
arena,C1,noun
arguably,C1,adverb
arm,C1,verb
array,C1,noun
ash,C1,noun
aspire,C1,verb
assassination,C1,noun
assertion,C1,noun
assurance,C1,noun
atrocity,C1,noun
attendance,C1,noun
attorney,C1,noun
audit,C1,noun
authorize,C1,verb
autonomy,C1,noun
availability,C1,noun
ballot,C1,noun
banner,C1,noun
barrel,C1,noun
bass1,C1,noun
bat,C1,verb
bay,C1,noun
beam,C1,noun
beast,C1,noun
beloved,C1,adjective
benchmark,C1,noun
beneficiary,C1,noun
betray,C1,verb
bleed,C1,verb
bless,C1,verb
blessing,C1,noun
bonus,C1,noun
boom,C1,noun
boundary,C1,noun
breakthrough,C1,noun
broadband,C1,noun
browser,C1,noun
buck,C1,noun
buddy,C1,noun
buffer,C1,noun
bulk,C1,noun
burden,C1,noun
cabinet,C1,noun
canvas,C1,noun
carriage,C1,noun
carve,C1,verb
casino,C1,noun
catalogue,C1,noun
cattle,C1,noun
cemetery,C1,noun
charter,C1,noun
chunk,C1,noun
civic,C1,adjective
clarity,C1,noun
classification,C1,noun
cling,C1,verb
cluster,C1,noun
coalition,C1,noun
cocktail,C1,noun
cognitive,C1,adjective
collective,C1,adjective
collision,C1,noun
colonial,C1,adjective
columnist,C1,noun
commentator,C1,noun
commissioner,C1,noun
communist,C1,adjective
compassion,C1,noun
compel,C1,verb
compensation,C1,noun
complement,C1,verb
compliance,C1,noun
compute,C1,verb
configuration,C1,noun
congregation,C1,noun
congressional,C1,adjective
conserve,C1,verb
consolidate,C1,verb
constituency,C1,noun
contention,C1,noun
contractor,C1,noun
contributor,C1,noun
coordinate,C1,verb
coordination,C1,noun
coordinator,C1,noun
cop,C1,noun
correlate,C1,verb
correlation,C1,noun
correspondence,C1,noun
correspondent,C1,noun
costly,C1,adjective
councillor,C1,noun
creator,C1,noun
creep,C1,verb
crown,C1,noun
cutting,C1,noun
dam,C1,noun
decision-making,C1,noun
deed,C1,noun
default,C1,noun
demon,C1,noun
denounce,C1,verb
deployment,C1,noun
descent,C1,noun
designate,C1,verb
destructive,C1,adjective
detain,C1,verb
detection,C1,noun
detention,C1,noun
devastate,C1,verb
dictator,C1,noun
diplomatic,C1,noun
discard,C1,verb
disclosure,C1,noun
discourse,C1,noun
dispose,C1,verb
divine,C1,adjective
doctrine,C1,noun
documentation,C1,noun
driving,C1,adjective
dub,C1,verb
duo,C1,noun
dynamic,C1,noun
educator,C1,noun
ego,C1,noun
electoral,C1,adjective
empower,C1,verb
enact,C1,verb
encompass,C1,verb
endorsement,C1,noun
enforcement,C1,noun
engagement,C1,noun
engaging,C1,adjective
enrol,C1,verb
ensue,C1,verb
epidemic,C1,noun
erect,C1,verb
eternal,C1,adjective
evacuate,C1,verb
excellence,C1,noun
exclusion,C1,noun
execution,C1,noun
exert,C1,verb
explicitly,C1,adverb
exploitation,C1,noun
faction,C1,noun
